"","ecoregion","province","realm","eco_type"
"244","Chilean matorral","Neotropical Mediterranean Forests, Woodlands and Scrub","Neotropical","terrestrial"
"245","High Monte","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"246","Araucaria moist forests","Neotropical Tropical and Subtropical Moist Broadleaf Forests","Neotropical","terrestrial"
"247","Southern Andean steppe","Neotropical Montane Grasslands and Shrublands","Neotropical","terrestrial"
"248","Paraná flooded savanna","Neotropical Flooded Grasslands and Savannas","Neotropical","terrestrial"
"249","San Félix-San Ambrosio Islands temperate forests","Neotropical Temperate Broadleaf & Mixed Forests","Neotropical","terrestrial"
"250","Southern Cone Mesopotamian savanna","Neotropical Flooded Grasslands and Savannas","Neotropical","terrestrial"
"251","Uruguayan savanna","Neotropical Tropical and Subtropical Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"252","Espinal","Neotropical Temperate Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"253","Low Monte","Neotropical Temperate Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"254","Humid Pampas","Neotropical Temperate Grasslands, Savannas and Shrublands","Neotropical","terrestrial"
"255","Juan Fernández Islands temperate forests","Neotropical Temperate Broadleaf & Mixed Forests","Neotropical","terrestrial"
"256","Bering tundra","Palearctic Tundra","Palearctic","terrestrial"
"257","Kamchatka Mountain tundra and forest tundra","Palearctic Tundra","Palearctic","terrestrial"
"258","Nihonkai evergreen forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"259","Great Basin montane forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
"260","Kopet Dag woodlands and forest steppe","Palearctic Montane Grasslands and Shrublands","Palearctic","terrestrial"
"261","Caspian Hyrcanian mixed forests","Palearctic Temperate Broadleaf & Mixed Forests","Palearctic","terrestrial"
"262","Eastern Himalayan subalpine conifer forests","Indomalayan Temperate Conifer Forests","Indomalayan","terrestrial"
"263","Sierra Madre Oriental pine-oak forests","Nearctic Tropical and Subtropical Coniferous Forests","Nearctic","terrestrial"
"264","Western Himalayan broadleaf forests","Indomalayan Temperate Broadleaf & Mixed Forests","Indomalayan","terrestrial"
"265","Southeastern conifer forests","Nearctic Temperate Conifer Forests","Nearctic","terrestrial"
